Title, Career, Grading, Class Number, Type, Credits, GE, Status, Available Seats, Enrollment Cap, Enrolled, WaitCap, WaitList
['\n        ANTH 110A - 01\xa0\xa0 Public Life and Contemporary Issues    ', 'Undergraduate', 'Student Option', '40914', 'Lecture', '5 units', 'IM', ' Open', '1', '50', '49', '0', '0']
['\n        ANTH 110B - 01\xa0\xa0 From Indiana Jones to Stonehenge: Archaeology as Popular Culture    ', 'Undergraduate', 'Student Option', '43052', 'Lecture', '5 units', 'IM', ' Closed', '0', '70', '71', '0', '0']
['\n        ANTH 110T - 01\xa0\xa0 Motherhood in American Culture    ', 'Undergraduate', 'Student Option', '43020', 'Lecture', '5 units', 'ER', ' Closed', '0', '0', '71', '0', '0']
['\n        ANTH 110U - 01\xa0\xa0 Histories and Cultures of Piracy    ', 'Undergraduate', 'Student Option', '43769', 'Lecture', '5 units', 'CC', ' Closed', '0', '70', '71', '0', '0']
['\n        ANTH 110W - 01\xa0\xa0 Land and Waterscapes Entropology    ', 'Undergraduate', 'Student Option', '43137', 'Lecture', '5 units', 'PE-E', ' Open', '9', '50', '41', '0', '0']
['\n        ANTH 110Z - 01\xa0\xa0 Infrastructure: Designing and Hacking Power in the Everyday    ', 'Undergraduate', 'Student Option', '43815', 'Lecture', '5 units', 'PE-T', ' Open', '8', '45', '37', '0', '0']
['\n        ANTH 125 - 01\xa0\xa0 Magic, Science, and Religion    ', 'Undergraduate', 'Student Option', '43333', 'Lecture', '5 units', 'PE-H', ' Closed', '0', '0', '49', '0', '0']
['\n        ANTH 129 - 01\xa0\xa0 Other Globalizations: Cultures and Histories of Interconnection    ', 'Undergraduate', 'Student Option', '40917', 'Lecture', '5 units', '\xa0', ' Open', '50', '70', '20', '0', '0']
['\n        ANTH 130I - 01\xa0\xa0 Cultures of India    ', 'Undergraduate', 'Student Option', '40918', 'Lecture', '5 units', 'CC', ' Open', '25', '50', '25', '0', '0']
['\n        ANTH 130O - 01\xa0\xa0 Native Feminisms, Gender, and Settler Colonialism    ', 'Undergraduate', 'Student Option', '43357', 'Lecture', '5 units', 'ER', ' Closed', '0', '0', '48', '0', '0']
